ScatID,curated_species,common_name,order,family,genus,species,new_host,site,type
D.06.14.23.C2,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.14.23.C2,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.14.23.C3,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.14.23.C3,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
D.06.14.23.C3,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.14.23.C3,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.06.14.23.C3,Anura,frog,Anura,NA,NA,NA,Coyote,Dangermond,host and prey
D.06.14.23.D1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.14.23.D1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.14.23.D1,Reithrodontomys megalotus,western harvest mouse,Rodentia,Cricetidae,Reithrodontomys,megalotus,Coyote,Dangermond,host and prey
D.06.14.23.D1,Zalophus californianus,california sea lion,Carnivora,Otariidae,Zalophus,californianus,Coyote,Dangermond,host and prey
D.08.18.23.C2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.18.23.C2,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.08.18.23.C2,Pipilo maculatus,spotted towhee,Passeriformes,Passerellidae,Pipilo,maculatus,Coyote,Dangermond,host and prey
D.08.18.23.C2,Thomomys bottae,botta's pocket gopher,Rodentia,Geomyidae,Thomomys,bottae,Coyote,Dangermond,host and prey
D.08.18.23.P1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.08.18.23.P1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.14.23.F1,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.14.23.F1,Peromyscus maniculatus,deer mouse,Rodentia,Cricetidae,Peromyscus,maniculatus,Coyote,Dangermond,host and prey
D.06.14.23.F1,Urile penicillatus,brandt's cormorant,Suliformes,Phalacrocoracidae,Urile,penicillatus,Coyote,Dangermond,host and prey
D.06.14.23.F2,Canis latrans,coyote,Carnivora,Canidae,Canis,latrans,Coyote,Dangermond,host and prey
D.06.14.23.F2,Microtus californicus,california vole,Rodentia,Cricetidae,Microtus,californicus,Coyote,Dangermond,host and prey
