LabID,ScatID,curated_species,common_name,broadtax,broadtax1,genus,family,order,species,host,site,guessed_sp,target,lon,lat,SampleSet
DEC11,D.06.26.23.C11,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4733293,34.46779098,GL
DEC11,D.06.26.23.C11,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4733293,34.46779098,GL
DEC11,D.06.26.23.C11,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Dangermond,coyote,No,-120.4733293,34.46779098,GL
DEC11,D.06.26.23.C11,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Dangermond,coyote,No,-120.4733293,34.46779098,GL
DEC11,D.06.26.23.C11,Stenopelmatus sp,cricket,Terrestrial insect,Terrestrial insect,Stenopelmatus,Stenopelmatidae,Orthoptera,NA,no,Dangermond,coyote,No,-120.4733293,34.46779098,GL
DEC11,D.06.26.23.C11,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4733293,34.46779098,GL
DEC11,D.06.26.23.C11,Onthophagus sp,dung beetle,Terrestrial insect,Terrestrial insect,Onthophagus,Scarabaeidae,Coleoptera,NA,no,Dangermond,coyote,No,-120.4733293,34.46779098,GL
DEC11,D.06.26.23.C11,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4733293,34.46779098,GL
DEC12,D.06.26.23.C12,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.4732961,34.46780223,GL
DEC12,D.06.26.23.C12,Urile penicillatus,brandt's cormorant,Brandt's cormorant,Brandt's cormorant,Urile,Phalacrocoracidae,Suliformes,penicillatus,no,Dangermond,coyote,No,-120.4732961,34.46780223,GL
DEC12,D.06.26.23.C12,Sus scrofa,wild boar,Wild boar,Wild boar,Sus,Suidae,Artiodactyla,scrofa,Wild boar,Dangermond,coyote,target,-120.4732961,34.46780223,GL
DEC13,D.06.26.23.C13,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.472985,34.46001891,GL
DEC13,D.06.26.23.C13,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Dangermond,coyote,No,-120.472985,34.46001891,GL
DEC13,D.06.26.23.C13,Zalophus californianus,california sea lion,California sea lion,California sea lion,Zalophus,Otariidae,Carnivora,californianus,no,Dangermond,coyote,No,-120.472985,34.46001891,GL
DEC13,D.06.26.23.C13,Thomomys bottae,botta's pocket gopher,Small rodent,Small rodent,Thomomys,Geomyidae,Rodentia,bottae,no,Dangermond,coyote,No,-120.472985,34.46001891,GL
DEC13,D.06.26.23.C13,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.472985,34.46001891,GL
DEC13,D.06.26.23.C13,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Dangermond,coyote,target,-120.472985,34.46001891,GL
CABC1,C.08.14.23.C1,Bos taurus,domestic cattle,Cattle,Cattle,Bos,Bovidae,Artiodactyla,taurus,no,Coal Oil Point,coyote,No,-119.879453,34.41458561,GL
CABC1,C.08.14.23.C1,Bos taurus,domestic cattle,Cattle,Cattle,Bos,Bovidae,Artiodactyla,taurus,no,Coal Oil Point,coyote,No,-119.879453,34.41458561,GL
CABC1,C.08.14.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.879453,34.41458561,GL
CABC1,C.08.14.23.C1,Gallus gallus,chicken,Terrestrial bird,Terrestrial bird,Gallus,Phasianidae,Galliformes,gallus,no,Coal Oil Point,coyote,No,-119.879453,34.41458561,GL
CABC1,C.08.14.23.C1,Gallus gallus,chicken,Terrestrial bird,Terrestrial bird,Gallus,Phasianidae,Galliformes,gallus,no,Coal Oil Point,coyote,No,-119.879453,34.41458561,GL
CABC1,C.08.14.23.C1,Bos taurus,domestic cattle,Cattle,Cattle,Bos,Bovidae,Artiodactyla,taurus,no,Coal Oil Point,coyote,No,-119.879453,34.41458561,GL
CABC1,C.08.14.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.879453,34.41458561,GL
CABC1,C.08.14.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.879453,34.41458561,GL
CACC1,C.08.17.23.C1,Urocyon cinereoargenteus,grey fox,Grey fox,Grey fox,Urocyon,Canidae,Carnivora,cinereoargenteus,no,Coal Oil Point,coyote,No,-119.8777584,34.41680041,GL
CACC1,C.08.17.23.C1,Urocyon cinereoargenteus,grey fox,Grey fox,Grey fox,Urocyon,Canidae,Carnivora,cinereoargenteus,no,Coal Oil Point,coyote,No,-119.8777584,34.41680041,GL
CACC1,C.08.17.23.C1,Urocyon cinereoargenteus,grey fox,Grey fox,Grey fox,Urocyon,Canidae,Carnivora,cinereoargenteus,no,Coal Oil Point,coyote,No,-119.8777584,34.41680041,GL
CAEC2,C.08.19.23.C2,Spermophillus beecheyi,california ground squirrel,Small rodent,Small rodent,Spermophillus,Sciuridae,Rodentia,beecheyi,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC2,C.08.19.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CAEC2,C.08.19.23.C2,Spermophillus beecheyi,california ground squirrel,Small rodent,Small rodent,Spermophillus,Sciuridae,Rodentia,beecheyi,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC2,C.08.19.23.C2,Spermophillus beecheyi,california ground squirrel,Small rodent,Small rodent,Spermophillus,Sciuridae,Rodentia,beecheyi,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC2,C.08.19.23.C2,Spermophillus beecheyi,california ground squirrel,Small rodent,Small rodent,Spermophillus,Sciuridae,Rodentia,beecheyi,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC2,C.08.19.23.C2,Spermophillus beecheyi,california ground squirrel,Small rodent,Small rodent,Spermophillus,Sciuridae,Rodentia,beecheyi,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC2,C.08.19.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CAEC2,C.08.19.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CAEC2,C.08.19.23.C2,Spermophillus beecheyi,california ground squirrel,Small rodent,Small rodent,Spermophillus,Sciuridae,Rodentia,beecheyi,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC2,C.08.19.23.C2,Peromyscus maniculatus,deer mouse,Small rodent,Small rodent,Peromyscus,Cricetidae,Rodentia,maniculatus,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC2,C.08.19.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CAEC2,C.08.19.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CAEC2,C.08.19.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CAEC3,C.08.19.23.C3,Spermophillus beecheyi,california ground squirrel,Small rodent,Small rodent,Spermophillus,Sciuridae,Rodentia,beecheyi,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC3,C.08.19.23.C3,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CAEC3,C.08.19.23.C3,Microtus californicus,california vole,Small rodent,Small rodent,Microtus,Cricetidae,Rodentia,californicus,no,Coal Oil Point,coyote,No,NA,NA,GL
CAEC3,C.08.19.23.C3,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,NA,NA,GL
CBF1,C.06.16.23.F1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,fox,target,-119.8777,34.41363,GL
CBF1,C.06.16.23.F1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,fox,target,-119.8777,34.41363,GL
CBF1,C.06.16.23.F1,Gallus gallus,chicken,Terrestrial bird,Terrestrial bird,Gallus,Phasianidae,Galliformes,gallus,no,Coal Oil Point,fox,No,-119.8777,34.41363,GL
CBF1,C.06.16.23.F1,Sus scrofa,wild boar,Wild boar,Wild boar,Sus,Suidae,Artiodactyla,scrofa,Wild boar,Coal Oil Point,fox,target,-119.8777,34.41363,GL
CBF1,C.06.16.23.F1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,fox,target,-119.8777,34.41363,GL
CBF1,C.06.16.23.F1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,fox,target,-119.8777,34.41363,GL
CBF1,C.06.16.23.F1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,fox,target,-119.8777,34.41363,GL
CHC1,C.06.29.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8804213,34.41519772,GL
CHC1,C.06.29.23.C1,Gallus gallus,chicken,Terrestrial bird,Terrestrial bird,Gallus,Phasianidae,Galliformes,gallus,no,Coal Oil Point,coyote,No,-119.8804213,34.41519772,GL
CHC1,C.06.29.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8804213,34.41519772,GL
CHC1,C.06.29.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8804213,34.41519772,GL
CHC2,C.06.29.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.881257,34.41315516,GL
CHC2,C.06.29.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.881257,34.41315516,GL
CHC2,C.06.29.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.881257,34.41315516,GL
CHC2,C.06.29.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.881257,34.41315516,GL
CIB1,C.07.06.23.B1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,bobcat,target,-119.880629,34.41296065,GL
CIB1,C.07.06.23.B1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,bobcat,target,-119.880629,34.41296065,GL
CIB1,C.07.06.23.B1,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Coal Oil Point,bobcat,No,-119.880629,34.41296065,GL
CIB1,C.07.06.23.B1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,bobcat,target,-119.880629,34.41296065,GL
CIB1,C.07.06.23.B1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,bobcat,target,-119.880629,34.41296065,GL
CIC1,C.07.06.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8811203,34.4164735,GL
CIC1,C.07.06.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8811203,34.4164735,GL
CIC1,C.07.06.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8811203,34.4164735,GL
CKC1,C.07.12.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8811344,34.41584145,GL
CKC1,C.07.12.23.C1,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Coal Oil Point,coyote,No,-119.8811344,34.41584145,GL
CKC1,C.07.12.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8811344,34.41584145,GL
CKC1,C.07.12.23.C1,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Coal Oil Point,coyote,No,-119.8811344,34.41584145,GL
CKC1,C.07.12.23.C1,Sylvilagus bachmani,brush rabbit,Brush rabbit,Brush rabbit,Sylvilagus,Leporidae,Lagomorpha,bachmani,no,Coal Oil Point,coyote,No,-119.8811344,34.41584145,GL
CKC1,C.07.12.23.C1,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.8811344,34.41584145,GL
CKC2,C.07.12.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.880771,34.41540984,GL
CKC2,C.07.12.23.C2,Canis latrans,coyote,Coyote,Coyote,Canis,Canidae,Carnivora,latrans,Coyote,Coal Oil Point,coyote,target,-119.880771,34.41540984,GL
